plot.no,samp.date,plant.no,samp.type,no.aphids
610,44038,2,random,16
610,44038,3,random,0
610,44038,4,random,18
610,44038,5,random,0
710,44038,1,flagged,0
710,44038,2,flagged,0
710,44038,3,flagged,0
710,44038,4,flagged,0
710,44038,5,flagged,0
710,44038,1,random,0
710,44038,2,random,6
710,44038,3,random,0
710,44038,4,random,0
710,44038,5,random,0
604,44038,1,flagged,0
604,44038,2,flagged,0
604,44038,3,flagged,0
604,44038,4,flagged,1
604,44038,5,flagged,3
604,44038,1,random,1
604,44038,2,random,11
604,44038,3,random,0
604,44038,4,random,0
604,44038,5,random,4
1106,44038,1,flagged,0
1106,44038,2,flagged,8
1106,44038,3,flagged,0
1106,44038,4,flagged,0
1106,44038,5,flagged,0
1106,44038,1,random,0
1106,44038,2,random,0
1106,44038,3,random,0
1106,44038,4,random,1
1106,44038,5,random,0
1109,44038,1,flagged,0
1109,44038,2,flagged,0
1109,44038,3,flagged,0
1109,44038,4,flagged,0
1109,44038,5,flagged,0
1109,44038,1,random,0
1109,44038,2,random,0
1109,44038,3,random,1
1109,44038,4,random,0
1109,44038,5,random,0
109,44041,1,flagged,5
109,44041,2,flagged,0
109,44041,3,flagged,0
109,44041,4,flagged,9
109,44041,5,flagged,0
109,44041,1,random,0
109,44041,2,random,19
109,44041,3,random,0
109,44041,4,random,0
109,44041,5,random,2
110,44041,1,flagged,0
110,44041,2,flagged,39
110,44041,3,flagged,1
110,44041,4,flagged,0
110,44041,5,flagged,0
110,44041,1,random,0
110,44041,2,random,3
110,44041,3,random,7
110,44041,4,random,1
110,44041,5,random,0
711,44041,1,flagged,0
711,44041,2,flagged,0
711,44041,3,flagged,2
711,44041,4,flagged,6
711,44041,5,flagged,0
711,44041,1,random,0
711,44041,2,random,0
711,44041,3,random,3
711,44041,4,random,1
711,44041,5,random,1
610,44041,1,flagged,0
610,44041,2,flagged,0
610,44041,3,flagged,0
610,44041,4,flagged,2
610,44041,5,flagged,0
610,44041,1,random,1
610,44041,2,random,6
610,44041,3,random,1
610,44041,4,random,1
610,44041,5,random,0
710,44041,1,flagged,0
710,44041,2,flagged,2
710,44041,3,flagged,0
710,44041,4,flagged,0
710,44041,5,flagged,0
710,44041,1,random,0
710,44041,2,random,19
710,44041,3,random,1
710,44041,4,random,0
710,44041,5,random,1
604,44041,1,flagged,0
604,44041,2,flagged,0
604,44041,3,flagged,0
604,44041,4,flagged,1
604,44041,5,flagged,1
604,44041,1,random,0
604,44041,2,random,8
604,44041,3,random,0
604,44041,4,random,1
604,44041,5,random,13
1106,44041,1,flagged,0
1106,44041,2,flagged,13
1106,44041,3,flagged,0
1106,44041,4,flagged,2
1106,44041,5,flagged,0
1106,44041,1,random,0
1106,44041,2,random,0
1106,44041,3,random,0
1106,44041,4,random,7
1106,44041,5,random,0
1109,44041,1,flagged,0
1109,44041,2,flagged,0
1109,44041,3,flagged,0
1109,44041,4,flagged,0
1109,44041,5,flagged,0
1109,44041,1,random,0
1109,44041,2,random,0
1109,44041,3,random,0
1109,44041,4,random,0
1109,44041,5,random,0
109,44044,1,flagged,26
109,44044,2,flagged,0
109,44044,3,flagged,0
109,44044,4,flagged,4
109,44044,5,flagged,1
109,44044,1,random,0
109,44044,2,random,11
109,44044,3,random,18
109,44044,4,random,4
109,44044,5,random,7
110,44044,1,flagged,1
110,44044,2,flagged,8
110,44044,3,flagged,7
110,44044,4,flagged,0
110,44044,5,flagged,1
110,44044,1,random,22
110,44044,2,random,8
110,44044,3,random,0
110,44044,4,random,8
110,44044,5,random,2
711,44044,1,flagged,0
711,44044,2,flagged,0
711,44044,3,flagged,2
711,44044,4,flagged,14
711,44044,5,flagged,0
711,44044,1,random,0
711,44044,2,random,0
711,44044,3,random,12
711,44044,4,random,0
711,44044,5,random,0
610,44044,1,flagged,0
610,44044,2,flagged,0
610,44044,3,flagged,0
610,44044,4,flagged,2
610,44044,5,flagged,0
610,44044,1,random,0
610,44044,2,random,2
610,44044,3,random,0
610,44044,4,random,0
610,44044,5,random,0
710,44044,1,flagged,0
710,44044,2,flagged,0
710,44044,3,flagged,0
710,44044,4,flagged,0
710,44044,5,flagged,0
710,44044,1,random,4
710,44044,2,random,0
710,44044,3,random,0
710,44044,4,random,0
710,44044,5,random,0
